what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_05",1294892879437
java.vm.info,sysinfo,,,"mixed mode",1294892879437
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1294892879437
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1294892879437
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1294892879437
java.vm.specification.version,sysinfo,,,"1.0",1294892879437
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1294892879437
java.vm.version,sysinfo,,,"10.0-b19",1294892879437
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1294892880125
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1294892880437
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1294892881718
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1294892882281
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1294892883250
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1294892883343
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1294892883656
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1294892884000
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1294892884078
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1294892884812
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1294892884859
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1294892884953
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1294892885171
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1294892906671
activated,editor,net.sourceforge.phpeclipse,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.PHPUnitEditor",1294892913015
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1294892922296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294893016062
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1294893016921
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1294893022718
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1294893022828
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1294893023109
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1294893023171
