what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1295284777687
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295284778187
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1295284778234
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1295284778562
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295284782828
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295284786406
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295284789578
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295284796500
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1295284801046
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1295284801546
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295284802000
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1295284804656
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1295284805171
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295284805921
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1295284808843
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1295284810812
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295284811671
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295284818312
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295284822031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295284840140
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295284840656
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295284841890
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295284871156
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295284877109
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295284884125
